"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dnmt3a",867.773255107735,-0.681821895813747,0.0821412912043219,-8.30059871006597,1.03588030055769e-16,6.98907233014012e-15
"Fmnl2",1328.38286934208,-1.49594965955627,0.180529708865242,-8.28644586511209,1.1668276682286e-16,7.79890597207165e-15
"9230112J17Rik",198.520230842272,1.13178245846591,0.136810651607427,8.27261945739073,1.31047453336731e-16,8.71363714336928e-15
"Dip2b",604.192245209111,-0.464190678270007,0.0561193539226681,-8.27149006222804,1.32295058552444e-16,8.75124992991502e-15
"Atcayos",356.967270417153,1.16551957818,0.141137567140416,8.25803931436934,1.48084783394127e-16,9.74549756562475e-15
"Brd4",1018.13351339456,-0.718224023105437,0.0870238445934689,-8.25318654284482,1.5422603466966e-16,1.00978709332436e-14
"Aldh9a1",778.577799879825,0.479103688274721,0.0581033183596122,8.24571989691639,1.64168822807554e-16,1.06943071222809e-14
"Spsb1",1090.90653826666,-0.984925358632435,0.119552005375065,-8.2384678997435,1.74429847376265e-16,1.13053446029273e-14
"Kalrn",566.825660310766,-0.654918428477746,0.0795510498171768,-8.23268115232761,1.8306900228583e-16,1.18056507855983e-14
"Setdb2-phf11c",343.206915280093,-1.81473405117055,0.220650552530914,-8.22447091274018,1.96054364547325e-16,1.25798283011791e-14
"Nasp",489.823236966261,-0.504686914755931,0.0614172017473004,-8.21735442836444,2.08041533318177e-16,1.32168168171889e-14
"N6amt1",707.030434043783,0.59930969226796,0.072930542655584,8.21754055907978,2.07718997988442e-16,1.32168168171889e-14
"Ubr2",2964.77158384939,-0.771302415917507,0.0939523784015986,-8.20950388951924,2.22104271272913e-16,1.40407099174645e-14
"Kdm7a",875.598819421833,-0.581633511435501,0.0710346672626354,-8.18802331099879,2.65551397978621e-16,1.670500534441e-14
"Zfp46",1096.67245849545,-0.832130752152422,0.101700477299446,-8.18217155168604,2.78773787595898e-16,1.74512391035032e-14
"Ints7",279.257699932258,-0.612374010749957,0.0748632827741236,-8.17989791601316,2.84084440329007e-16,1.76973573919522e-14
"Lbh",8536.07541219254,1.08540237848069,0.132777161569627,8.17461652026293,2.96808366821519e-16,1.84006848860897e-14
"Gpatch8",755.913251510152,-0.477068403989966,0.0584898831197536,-8.15642600983155,3.45083743988263e-16,2.12906715701989e-14
"Sox6",566.307854231665,-1.68360983112511,0.206643243228772,-8.14742260535082,3.71762669008907e-16,2.28269393846474e-14
"Rpl30",800.324900548932,0.513420485012913,0.063040056585757,8.14435317510348,3.81314739105899e-16,2.33019621283143e-14
"Rhd",125.817298813281,1.26988919028902,0.155992934241305,8.14068404101324,3.930508761954e-16,2.3905317034197e-14
"Cxcl13",544.456720075744,2.6338552248948,0.323825117388939,8.13357297955159,4.16818962447423e-16,2.52313101183386e-14
